시군구,단지명,전용면적,계약년월,계약일,거래금액,층,건축년도,도로명,해제사유발생일
서울특별시 강남구 개포동,개포주공 6단지,73.02,202102,28,240500 ,7,1983,개포로 516,
서울특별시 강남구 개포동,개포주공 7단지,60.76,202101,7,200000 ,9,1983,개포로 516,
서울특별시 강남구 개포동,개포주공 7단지,73.26,202101,30,235000 ,1,1983,개포로 516,
서울특별시 강남구 개포동,개포현대200동,82.2,202101,22,192000 ,8,1986,언주로 105,
서울특별시 강남구 개포동,디에이치아너힐즈,84.6348,202101,22,274000 ,20,2019,삼성로 11,
서울특별시 강남구 개포동,디에이치아너힐즈,76.1709,202103,9,258000 ,11,2019,삼성로 11,
서울특별시 강남구 개포동,래미안블레스티지,84.943,202101,14,267000 ,6,2019,선릉로 8,
서울특별시 강남구 개포동,래미안블레스티지,84.94,202101,18,277000 ,23,2019,선릉로 8,20210309
서울특별시 강남구 개포동,래미안블레스티지,84.943,202102,15,251000 ,1,2019,선릉로 8,
서울특별시 강남구 개포동,래미안블레스티지,84.94,202103,9,277000 ,23,2019,선릉로 8,
서울특별시 강남구 개포동,우성8,78.93,202101,3,181000 ,3,1987,개포로 411,
서울특별시 강남구 개포동,우성8,79.61,202101,11,200000 ,2,1987,개포로 411,20210225
서울특별시 강남구 개포동,우성8,79.61,202101,11,200000 ,2,1987,개포로 411,
서울특별시 강남구 개포동,"우성9차아파트 901동, 902동",84.9,202101,11,241000 ,15,1991,개포로 311,
서울특별시 강남구 개포동,현대2,84.81,202101,15,224000 ,5,1986,언주로 107,
서울특별시 강남구 논현동,동부센트레빌,84.9875,202102,18,179500 ,20,2003,언주로116길 6,
서울특별시 강남구 논현동,동현아파트 1~6,84.92,202101,8,176000 ,10,1985,언주로146길 18,
서울특별시 강남구 논현동,동현아파트 1~6,84.92,202101,15,167000 ,1,1985,언주로146길 18,
서울특별시 강남구 논현동,두산위브2단지,84.721,202101,25,160000 ,4,2004,언주로122길 25,
서울특별시 강남구 논현동,두영,85,202101,13,91000 ,4,2004,논현로124길 8,
서울특별시 강남구 논현동,신동아(22),84.52,202102,3,165000 ,5,1997,강남대로146길 28,
서울특별시 강남구 논현동,아크로힐스논현,84.13,202103,13,210000 ,30,2014,언주로 604,
서울특별시 강남구 논현동,우민,74.758,202101,19,116000 ,5,2002,언주로136길 21,
서울특별시 강남구 논현동,제이빌,75.12,202102,9,95000 ,5,2004,학동로43길 30,
서울특별시 강남구 논현동,지고하임(102동),77.7,202101,16,90000 ,4,2003,강남대로136길 40,
서울특별시 강남구 대치동,개포우성1,84.81,202101,2,285000 ,12,1983,선릉로 120,
서울특별시 강남구 대치동,"대치우성아파트1동, 2동, 3동, 5동, 6동, 7동",84.69,202102,8,227000 ,7,1984,영동대로 230,
서울특별시 강남구 대치동,"대치우성아파트1동, 2동, 3동, 5동, 6동, 7동",84.69,202102,8,227000 ,7,1984,영동대로 230,20210215
서울특별시 강남구 대치동,"대치우성아파트1동, 2동, 3동, 5동, 6동, 7동",84.69,202102,23,233500 ,12,1984,영동대로 230,
서울특별시 강남구 대치동,은마,76.79,202101,19,214500 ,13,1979,삼성로 212,
서울특별시 강남구 대치동,은마,84.43,202101,19,232000 ,3,1979,삼성로 212,
서울특별시 강남구 대치동,은마,84.43,202101,22,237000 ,11,1979,삼성로 212,
서울특별시 강남구 대치동,은마,84.43,202101,26,242000 ,9,1979,삼성로 212,
서울특별시 강남구 대치동,은마,76.79,202101,26,217000 ,5,1979,삼성로 212,
서울특별시 강남구 대치동,은마,76.79,202102,2,217000 ,7,1979,삼성로 212,
서울특별시 강남구 대치동,은마,84.43,202102,9,240000 ,9,1979,삼성로 212,
서울특별시 강남구 대치동,은마,76.79,202102,10,220000 ,5,1979,삼성로 212,
서울특별시 강남구 대치동,은마,76.79,202102,18,218000 ,6,1979,삼성로 212,
서울특별시 강남구 대치동,은마,84.43,202102,24,245000 ,6,1979,삼성로 212,
서울특별시 강남구 대치동,은마,84.43,202103,2,232000 ,6,1979,삼성로 212,
서울특별시 강남구 대치동,은마,76.79,202103,2,224000 ,8,1979,삼성로 212,
서울특별시 강남구 대치동,은마,76.79,202103,8,220000 ,7,1979,삼성로 212,
서울특별시 강남구 대치동,테헤란로대우아이빌(891-6),65.24,202102,18,55000 ,6,2004,테헤란로 428,
서울특별시 강남구 대치동,테헤란로대우아이빌(891-6),65.24,202103,13,55000 ,9,2004,테헤란로 428,
서울특별시 강남구 대치동,한보미도맨션1,84.48,202101,25,215000 ,1,1983,삼성로 150,
서울특별시 강남구 대치동,한보미도맨션2,84.96,202101,29,249500 ,1,1985,삼성로 150,
서울특별시 강남구 도곡동,SK허브프리모,67.57,202101,2,91000 ,11,2006,강남대로 240,
서울특별시 강남구 도곡동,SK허브프리모,67.57,202101,8,89900 ,12,2006,강남대로 240,
서울특별시 강남구 도곡동,SK허브프리모,67.57,202102,9,90000 ,8,2006,강남대로 240,
서울특별시 강남구 도곡동,대림,84.93,202102,15,184000 ,5,1992,논현로41길 10,
서울특별시 강남구 도곡동,도곡1차아이파크,84.122,202102,17,200000 ,6,2007,도곡로28길 8,
서울특별시 강남구 도곡동,도곡렉슬,84.9984,202101,8,289000 ,4,2006,선릉로 221,
서울특별시 강남구 도곡동,도곡렉슬,84.9984,202101,9,289000 ,18,2006,선릉로 221,
서울특별시 강남구 도곡동,럭키(963),84.97,202101,16,200000 ,12,1995,논현로 213,
서울특별시 강남구 도곡동,럭키(963),84.97,202101,27,196500 ,7,1995,논현로 213,
서울특별시 강남구 도곡동,럭키(963),84.97,202102,3,203000 ,15,1995,논현로 213,
서울특별시 강남구 도곡동,럭키(963),84.97,202102,10,204000 ,10,1995,논현로 213,
서울특별시 강남구 도곡동,삼성,73.41,202101,18,176000 ,2,1994,남부순환로379길 14,
서울특별시 강남구 도곡동,삼성,84.81,202101,21,190000 ,4,1994,남부순환로379길 14,
서울특별시 강남구 도곡동,역삼우성,84.83,202102,16,180000 ,2,1986,남부순환로363길 49,
서울특별시 강남구 도곡동,우성4,84.6,202102,26,238000 ,2,1985,언주로 117,
서울특별시 강남구 도곡동,우성사원5,78.99,202101,16,194000 ,9,1986,언주로29길 34,
서울특별시 강남구 도곡동,한신(개포),83.86,202101,29,228000 ,1,1985,언주로 123,
서울특별시 강남구 도곡동,한신엠비씨,84.74,202101,21,185000 ,1,1988,논현로 205,
서울특별시 강남구 도곡동,한신엠비씨,84.74,202102,1,197800 ,6,1988,논현로 205,
서울특별시 강남구 도곡동,한신엠비씨,84.74,202102,24,197000 ,10,1988,논현로 205,
서울특별시 강남구 도곡동,현대아파트 1동~3동,84.96,202102,4,175000 ,14,1994,도곡로18길 35,
서울특별시 강남구 삼성동,레미안삼성1차(104),84.98,202102,1,225000 ,8,2005,영동대로114길 56,
서울특별시 강남구 삼성동,롯데캐슬프레미어,84.465,202101,22,255000 ,18,2007,선릉로126길 22,
서울특별시 강남구 삼성동,미켈란107,83,202103,8,170000 ,7,2003,영동대로 602,
서울특별시 강남구 삼성동,미켈란147,83.69,202103,1,155000 ,10,2004,봉은사로 516,
서울특별시 강남구 삼성동,삼성동힐스테이트 1단지,84.503,202101,11,222500 ,1,2008,학동로68길 29,
서울특별시 강남구 삼성동,삼성동힐스테이트 1단지,84.236,202101,13,235000 ,4,2008,학동로68길 29,
서울특별시 강남구 삼성동,삼성동힐스테이트 1단지,84.236,202101,22,242000 ,7,2008,학동로68길 29,
서울특별시 강남구 삼성동,삼성동힐스테이트 1단지,84.503,202102,6,235000 ,14,2008,학동로68길 29,
서울특별시 강남구 삼성동,삼성동힐스테이트 1단지,84.236,202102,25,258000 ,14,2008,학동로68길 29,
서울특별시 강남구 삼성동,삼성동힐스테이트 1단지,84.236,202103,1,240000 ,5,2008,학동로68길 29,
서울특별시 강남구 삼성동,삼성동힐스테이트 1단지,84.236,202103,20,259000 ,13,2008,학동로68길 29,
서울특별시 강남구 삼성동,삼성월드타워,84.202,202102,25,120620 ,4,1997,학동로 408,
서울특별시 강남구 삼성동,삼성월드타워,84.202,202102,26,127170 ,9,1997,학동로 408,
서울특별시 강남구 삼성동,삼성월드타워,84.202,202102,26,121930 ,6,1997,학동로 408,
서울특별시 강남구 삼성동,삼성월드타워,84.202,202103,2,121930 ,5,1997,학동로 408,
서울특별시 강남구 삼성동,삼성월드타워,84.202,202103,3,117990 ,2,1997,학동로 408,
서울특별시 강남구 삼성동,월성빌라트,82.02,202101,8,140000 ,2,1994,영동대로114길 23,
서울특별시 강남구 삼성동,채널리저브,84.97,202101,22,165000 ,12,2007,삼성로 517,
서울특별시 강남구 삼성동,현대힐스테이트 2단지,84.679,202101,21,255000 ,4,2008,삼성로111길 8,
서울특별시 강남구 삼성동,현대힐스테이트 2단지,84.236,202102,4,260000 ,19,2008,삼성로111길 8,
서울특별시 강남구 삼성동,현대힐스테이트 2단지,84.236,202102,4,260000 ,19,2008,삼성로111길 8,20210324
서울특별시 강남구 세곡동,강남데시앙파크,84.95,202101,11,140000 ,10,2011,헌릉로590길 63,
서울특별시 강남구 세곡동,강남데시앙파크,84.95,202103,21,132000 ,5,2011,헌릉로590길 63,
서울특별시 강남구 세곡동,세곡푸르지오,84.83,202101,5,157000 ,3,2012,자곡로 21,
서울특별시 강남구 세곡동,세곡푸르지오,84.84,202101,6,160000 ,15,2012,자곡로 21,
서울특별시 강남구 세곡동,세곡푸르지오,84.84,202102,24,170000 ,13,2012,자곡로 21,
서울특별시 강남구 세곡동,세곡푸르지오,84.95,202103,5,160000 ,12,2012,자곡로 21,
서울특별시 강남구 세곡동,세곡푸르지오,74.74,202103,13,155000 ,8,2012,자곡로 21,
서울특별시 강남구 수서동,강남데시앙포레,84.92,202101,18,182000 ,8,2014,광평로34길 55,
서울특별시 강남구 수서동,강남데시앙포레,84.92,202101,23,175800 ,5,2014,광평로34길 55,
서울특별시 강남구 수서동,동익,84.46,202101,30,168000 ,13,1993,광평로39길 3,
서울특별시 강남구 수서동,삼성,84.97,202101,1,176000 ,8,1997,광평로31길 27,
서울특별시 강남구 수서동,삼성,84.97,202101,28,159289 ,1,1997,광평로31길 27,
서울특별시 강남구 수서동,삼성,84.97,202101,28,165000 ,2,1997,광평로31길 27,
서울특별시 강남구 수서동,삼성,84.97,202101,28,169100 ,3,1997,광평로31길 27,
서울특별시 강남구 수서동,삼성,84.97,202101,29,179000 ,2,1997,광평로31길 27,
서울특별시 강남구 수서동,삼성,84.97,202101,29,186500 ,13,1997,광평로31길 27,
서울특별시 강남구 수서동,삼성,84.97,202102,1,189500 ,8,1997,광평로31길 27,
서울특별시 강남구 수서동,삼성,84.97,202102,11,190000 ,14,1997,광평로31길 27,
서울특별시 강남구 수서동,삼성,84.97,202103,5,174000 ,1,1997,광평로31길 27,
서울특별시 강남구 수서동,삼성,84.97,202103,12,180100 ,11,1997,광평로31길 27,
서울특별시 강남구 수서동,삼익,84.48,202102,15,166000 ,14,1992,광평로51길 27,
서울특별시 강남구 신사동,신성아파트 101동,84.9,202103,24,112000 ,4,1996,언주로167길 15,
서울특별시 강남구 압구정동,미성2차,74.4,202101,9,240000 ,6,1987,압구정로 113,
서울특별시 강남구 압구정동,미성2차,74.4,202102,1,249500 ,12,1987,압구정로 113,
서울특별시 강남구 압구정동,미성2차,74.4,202102,23,238500 ,7,1987,압구정로 113,
서울특별시 강남구 압구정동,미성2차,74.4,202103,2,242200 ,16,1987,압구정로 113,
서울특별시 강남구 압구정동,한양1차(영동한양),78.05,202101,8,250000 ,9,1977,압구정로 321,
서울특별시 강남구 압구정동,한양1차(영동한양),78.05,202101,12,259000 ,3,1977,압구정로 321,
서울특별시 강남구 압구정동,한양1차(영동한양),78.05,202101,30,245000 ,1,1977,압구정로 321,
서울특별시 강남구 압구정동,한양1차(영동한양),63.87,202101,30,235000 ,11,1977,압구정로 321,
서울특별시 강남구 압구정동,한양1차(영동한양),63.87,202102,3,220000 ,12,1977,압구정로 321,
서울특별시 강남구 압구정동,"현대14차(203,204,205,206동)",84.98,202101,7,289000 ,4,1987,압구정로29길 57,
서울특별시 강남구 압구정동,"현대14차(203,204,205,206동)",84.98,202101,8,289000 ,5,1987,압구정로29길 57,
서울특별시 강남구 압구정동,"현대14차(203,204,205,206동)",84.98,202103,29,300000 ,4,1987,압구정로29길 57,
서울특별시 강남구 압구정동,현대3차(61~64동),82.5,202101,9,260000 ,8,1976,압구정로39길 58,
서울특별시 강남구 압구정동,현대3차(61~64동),82.5,202101,9,225000 ,2,1976,압구정로39길 58,
서울특별시 강남구 압구정동,현대3차(61~64동),82.5,202101,11,270000 ,10,1976,압구정로39길 58,
서울특별시 강남구 압구정동,현대3차(61~64동),82.5,202101,16,270000 ,10,1976,압구정로39길 58,
서울특별시 강남구 압구정동,현대3차(61~64동),82.5,202102,8,282000 ,12,1976,압구정로39길 58,
서울특별시 강남구 압구정동,"현대5차(71,72동)",82.23,202102,15,288000 ,1,1977,압구정로29길 68,
서울특별시 강남구 역삼동,e-편한세상,84.991,202101,31,264900 ,2,2005,선릉로69길 20,
서울특별시 강남구 역삼동,강남서해더블루,66.04,202101,9,91000 ,10,2012,논현로63길 16,
서울특별시 강남구 역삼동,강남서해더블루,80.2,202101,13,99000 ,7,2012,논현로63길 16,
서울특별시 강남구 역삼동,강남서해더블루,80.2,202101,22,110000 ,6,2012,논현로63길 16,
서울특별시 강남구 역삼동,강남한솔,74.61,202101,18,77500 ,2,2006,도곡로19길 17,
서울특별시 강남구 역삼동,강남한솔,74.61,202101,18,77500 ,2,2006,도곡로19길 17,20210210
서울특별시 강남구 역삼동,갤러리하우스,84.95,202101,11,80000 ,1,2002,도곡로33길 16,
서울특별시 강남구 역삼동,갤러리하우스,71.66,202101,19,66000 ,1,2002,도곡로33길 16,
서울특별시 강남구 역삼동,로얄빌리지,83.12,202101,22,117000 ,4,2002,테헤란로21길 18,
서울특별시 강남구 역삼동,역삼디오슈페리움,84.34,202102,22,126000 ,16,2006,강남대로 324,
서울특별시 강남구 역삼동,역삼래미안,80.87,202103,6,247000 ,3,2005,선릉로69길 19,
서울특별시 강남구 역삼동,역삼푸르지오,84.9097,202101,11,255000 ,7,2006,언주로 332,
서울특별시 강남구 역삼동,역삼푸르지오,84.9097,202102,16,260000 ,9,2006,언주로 332,
서울특별시 강남구 역삼동,프리우스 역삼 102동,84.18,202102,5,115000 ,3,2006,테헤란로13길 31-7,
서울특별시 강남구 역삼동,한양럭스,72.62,202102,26,69000 ,1,2003,테헤란로25길 58,
서울특별시 강남구 일원동,가람,84.95,202101,9,225000 ,4,1993,일원로 127,
서울특별시 강남구 일원동,가람,84.95,202102,3,220000 ,2,1993,일원로 127,
서울특별시 강남구 일원동,디에이치 포레센트,84.94,202103,8,250000 ,5,2021,개포로110길 38,
서울특별시 강남구 일원동,래미안 개포 루체하임,71.68,202101,13,240000 ,24,2018,개포로110길 50,
서울특별시 강남구 일원동,래미안 개포 루체하임,71.68,202101,13,240000 ,24,2018,개포로110길 50,20210324
서울특별시 강남구 일원동,래미안 개포 루체하임,84.97,202101,29,265000 ,17,2018,개포로110길 50,
서울특별시 강남구 일원동,래미안 개포 루체하임,84.97,202102,9,274500 ,15,2018,개포로110길 50,
서울특별시 강남구 일원동,래미안 개포 루체하임,71.68,202102,11,245000 ,11,2018,개포로110길 50,
서울특별시 강남구 일원동,상록수,74.54,202101,3,195000 ,3,1993,광평로10길 15,
서울특별시 강남구 일원동,우성7,83.69,202101,9,206000 ,5,1987,개포로110길 15,
서울특별시 강남구 일원동,우성7,68.4,202101,16,190000 ,1,1987,개포로110길 15,
서울특별시 강남구 일원동,우성7,84.06,202102,22,210000 ,2,1987,개포로110길 15,
서울특별시 강남구 일원동,푸른마을 아파트 101동~111동,84.93,202101,23,185000 ,14,1994,일원로14길 25,
서울특별시 강남구 일원동,푸른마을 아파트 101동~111동,84.93,202102,6,186000 ,13,1994,일원로14길 25,
서울특별시 강남구 일원동,한솔마을,63.76,202101,30,170000 ,2,1994,광평로10길 6,
서울특별시 강남구 일원동,한솔마을,84.73,202101,30,211000 ,4,1994,광평로10길 6,
서울특별시 강남구 자곡동,강남한양수자인(4단지),84.99,202102,17,168000 ,6,2014,자곡로 260,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.83,202101,4,95950 ,12,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202101,6,85150 ,7,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.92,202101,6,98750 ,14,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.92,202101,8,99350 ,11,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.89,202101,13,85100 ,8,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202101,13,84250 ,4,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.92,202101,15,94050 ,3,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.89,202101,15,160000 ,10,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.83,202101,18,95850 ,10,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202101,19,160000 ,14,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202101,19,86950 ,12,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202101,19,88250 ,14,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.92,202101,19,94100 ,2,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.89,202101,20,86250 ,12,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202101,20,87300 ,9,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.92,202101,20,179500 ,3,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202101,20,166000 ,9,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202101,20,87550 ,10,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202101,22,84550 ,5,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202101,23,160000 ,9,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.89,202101,23,163000 ,12,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.89,202101,25,85700 ,10,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.89,202101,26,84150 ,6,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202101,27,87800 ,10,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.92,202101,28,174000 ,3,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.92,202101,29,98550 ,15,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.89,202101,29,84000 ,6,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202101,29,84150 ,3,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202102,1,87400 ,9,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.83,202102,2,96600 ,12,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.89,202102,3,81850 ,2,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202102,3,87650 ,10,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202102,5,87400 ,14,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.92,202102,5,98750 ,14,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202102,5,86950 ,10,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.89,202102,5,85550 ,9,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.89,202102,7,165000 ,5,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.92,202102,9,93750 ,2,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202102,9,87100 ,9,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.92,202102,10,95450 ,5,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.96,202102,10,95650 ,4,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202102,10,84650 ,5,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202102,17,87300 ,15,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202102,19,82450 ,1,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.92,202102,22,95450 ,5,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202102,22,86150 ,7,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.89,202102,22,83050 ,4,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202102,23,83700 ,3,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202102,23,87500 ,11,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.89,202102,23,169000 ,13,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202102,24,84150 ,5,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202102,24,85150 ,6,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202102,24,82650 ,1,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.89,202102,26,84650 ,7,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202102,26,84250 ,6,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.89,202102,26,83450 ,5,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202103,2,87750 ,14,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.96,202103,2,97250 ,7,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202103,2,82750 ,2,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202103,3,86950 ,15,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202103,3,85950 ,8,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.83,202103,3,91500 ,2,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202103,7,170000 ,14,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.92,202103,8,97750 ,8,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.92,202103,9,93150 ,1,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.92,202103,9,98350 ,10,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.89,202103,9,86450 ,11,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.96,202103,10,170000 ,4,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202103,10,82050 ,1,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202103,12,86950 ,11,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202103,12,87500 ,11,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.96,202103,15,93900 ,1,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.96,202103,16,96750 ,6,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.92,202103,19,93950 ,1,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202103,22,88150 ,13,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202103,22,83950 ,4,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202103,23,87050 ,13,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202103,24,83500 ,3,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202103,26,84400 ,3,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202103,29,85500 ,5,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202103,31,82950 ,3,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.89,202103,31,83850 ,6,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,84.83,202103,31,96750 ,13,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202104,7,83250 ,1,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202104,9,84850 ,7,2014,자곡로 175,
서울특별시 강남구 자곡동,엘에이치강남아이파크,74.97,202104,9,86250 ,10,2014,자곡로 175,
서울특별시 강남구 청담동,범신칼릭스빌,84.78,202102,18,135000 ,2,2005,도산대로89길 12,
서울특별시 강남구 청담동,청담대림 이-편한세상,81.84,202101,19,195000 ,9,2002,학동로77길 27,
서울특별시 강남구 청담동,청담린든그로브,84.9979,202102,24,280000 ,3,2017,학동로97길 51,
서울특별시 강동구 강일동,강일리버파크1단지,84.53,202101,25,95000 ,3,2009,아리수로93가길 25,
서울특별시 강동구 강일동,강일리버파크1단지,84.83,202103,20,105000 ,8,2009,아리수로93가길 25,
서울특별시 강동구 강일동,강일리버파크3단지,84.74,202101,12,100000 ,2,2009,아리수로93길 40,
서울특별시 강동구 강일동,강일리버파크3단지,84.53,202101,23,100000 ,4,2009,아리수로93길 40,
서울특별시 강동구 강일동,강일리버파크5단지,84.83,202102,6,110000 ,4,2009,아리수로97길 20,
서울특별시 강동구 강일동,강일리버파크5단지,84.83,202102,8,109000 ,13,2009,아리수로97길 20,
서울특별시 강동구 강일동,강일리버파크6단지,84.83,202102,6,115000 ,7,2009,아리수로94길 19,
서울특별시 강동구 강일동,강일리버파크6단지,84.74,202102,9,110000 ,4,2009,아리수로94길 19,
서울특별시 강동구 강일동,강일리버파크6단지,84.74,202103,12,115000 ,3,2009,아리수로94길 19,
서울특별시 강동구 강일동,강일리버파크7단지,84.53,202101,25,107500 ,6,2009,아리수로98길 25,
서울특별시 강동구 강일동,강일리버파크8단지,84.53,202101,19,110000 ,11,2009,아리수로94길 72,
서울특별시 강동구 강일동,강일리버파크8단지,84.53,202101,30,108000 ,9,2009,아리수로94길 72,
서울특별시 강동구 강일동,강일리버파크8단지,84.74,202101,30,112000 ,10,2009,아리수로94길 72,
서울특별시 강동구 강일동,강일리버파크9단지,84.53,202103,8,107500 ,5,2009,고덕로97길 29,
서울특별시 강동구 강일동,강일리버파크9단지,84.74,202103,22,108500 ,6,2009,고덕로97길 29,
서울특별시 강동구 고덕동,고덕 아이파크,84.98,202101,2,149000 ,8,2011,동남로79길 26,
서울특별시 강동구 고덕동,고덕 아이파크,84.98,202101,6,154500 ,3,2011,동남로79길 26,
서울특별시 강동구 고덕동,고덕 아이파크,84.98,202101,15,159000 ,9,2011,동남로79길 26,
서울특별시 강동구 고덕동,고덕 아이파크,84.98,202101,27,148000 ,16,2011,동남로79길 26,
